FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240505;2100;104;;;
240505;2200;75;;;
240505;2300;70;;;
240506;0000;27;;;
240506;0100;80;;;
240506;0200;48;;;
240506;0300;25;;;
240506;0400;30;;;
240506;0500;12;;;
240506;0600;24;;;
240506;0700;85;;;
240506;0800;94;;;
240506;0900;85;;;
240506;1000;105;;;
240506;1100;125;;;
240506;1200;71;;;
240506;1300;74;;;
240506;1400;66;;;
240506;1500;142;;;
240506;1600;76;;;
240506;1700;102;;;
240506;1800;137;;;
240506;1900;126;;;
240506;2000;92;;;
240506;2100;134;;;
240506;2200;130;;;
240506;2300;78;;;
240507;0000;75;;;
240507;0100;52;;;
240507;0200;15;;;
240507;0300;22;;;
240507;0400;25;;;
240507;0500;42;;;
240507;0600;52;;;
240507;0700;117;;;
240507;0800;84;;;
240507;0900;105;;;
240507;1000;83;;;
240507;1100;67;;;
240507;1200;53;;;
240507;1300;58;;;
240507;1400;38;;;
240507;1500;58;;;
240507;1600;65;;;
240507;1700;85;;;
240507;1800;98;;;
240507;1900;87;;;
240507;2000;305;;;
240507;2100;143;;;
240507;2200;206;;;
240507;2300;112;;;
240508;0000;54;;;
240508;0100;29;;;
240508;0200;82;;;
240508;0300;31;;;
240508;0400;33;;;
240508;0500;8;;;
240508;0600;33;;;
240508;0700;82;;;
240508;0800;179;;;
240508;0900;36;;;
240508;1000;22;;;
240508;1100;12;;;
240508;1200;27;;;
240508;1300;13;;;
240508;1400;16;;;
240508;1500;22;;;
240508;1600;50;;;
240508;1700;121;;;
240508;1800;114;;;
240508;1900;58;;;
240508;2000;55;;;
240508;2100;54;;;
240508;2200;38;;;
240508;2300;39;;;
240509;0000;73;;;
240509;0100;61;;;
240509;0200;112;;;
240509;0300;30;;;
240509;0400;29;;;
240509;0500;33;;;
240509;0600;37;;;
240509;0700;60;;;
240509;0800;61;;;
240509;0900;76;;;
240509;1000;63;;;
240509;1100;86;;;
240509;1200;130;;;
240509;1300;72;;;
240509;1400;101;;;
240509;1500;105;;;
240509;1600;69;;;
240509;1700;81;;;
240509;1800;78;;;
240509;1900;94;;;
240509;2000;81;;;
240509;2100;89;;;
240509;2200;68;;;
240509;2300;76;;;
240510;0000;140;;;
240510;0100;64;;;
240510;0200;68;;;
240510;0300;45;;;
240510;0400;46;;;
240510;0500;37;;;
240510;0600;93;;;
240510;0700;159;;;
240510;0800;175;;;
240510;0900;119;;;
240510;1000;130;;;
240510;1100;89;;;
240510;1200;128;;;
240510;1300;38;;;
240510;1400;41;;;
240510;1500;35;;;
240510;1600;42;;;
240510;1700;45;;;
240510;1800;52;;;
240510;1900;76;;;
240510;2000;61;;;
240510;2100;57;;;
240510;2200;78;;;
240510;2300;32;;;
240511;0000;52;;;
240511;0100;32;;;
240511;0200;31;;;
240511;0300;49;;;
240511;0400;32;;;
240511;0500;22;;;
240511;0600;17;;;
240511;0700;34;;;
240511;0800;84;;;
240511;0900;90;;;
240511;1000;86;;;
240511;1100;84;;;
240511;1200;83;;;
240511;1300;19;;;
240511;1400;17;;;
240511;1500;20;;;
240511;1600;30;;;
240511;1700;75;;;
240511;1800;95;;;
240511;1900;155;;;
240511;2000;252;;;
240511;2100;179;;;
240511;2200;110;;;
240511;2300;186;;;
240512;0000;137;;;
240512;0100;155;;;
240512;0200;116;;;
240512;0300;102;;;
240512;0400;79;;;
240512;0500;104;;;
240512;0600;59;;;
240512;0700;193;;;
240512;0800;216;;;
240512;0900;211;;;
240512;1000;81;;;
240512;1100;62;;;
240512;1200;58;;;
240512;1300;53;;;
240512;1400;37;;;
240512;1500;73;;;
240512;1600;64;;;
240512;1700;108;;;
240512;1800;183;;;
240512;1900;300;;;
240512;2000;239;;;
240512;2100;163;;;
240512;2200;143;;;
240512;2300;61;;;
240513;0000;36;;;
240513;0100;69;;;
240513;0200;28;;;
240513;0300;9;;;
240513;0400;31;;;
240513;0500;35;;;
240513;0600;168;;;
240513;0700;349;;;
240513;0800;213;;;
240513;0900;63;;;
240513;1000;14;;;
240513;1100;19;;;
240513;1200;26;;;
240513;1300;33;;;
240513;1400;30;;;
240513;1500;29;;;
240513;1600;38;;;
240513;1700;137;;;
240513;1800;185;;;
240513;1900;327;;;
240513;2000;283;;;
240513;2100;178;;;
240513;2200;257;;;
240513;2300;236;;;
240514;0000;445;;;
240514;0100;371;;;
240514;0200;317;;;
240514;0300;209;;;
240514;0400;135;;;
240514;0500;163;;;
240514;0600;181;;;
240514;0700;285;;;
240514;0800;196;;;
240514;0900;91;;;
240514;1000;157;;;
240514;1100;84;;;
240514;1200;65;;;
240514;1300;71;;;
240514;1400;70;;;
240514;1500;78;;;
240514;1600;93;;;
240514;1700;265;;;
240514;1800;331;;;
240514;1900;696;;;
240514;2000;579;;;
240514;2100;406;;;
240514;2200;665;;;
240514;2300;852;;;
240515;0000;896;;;
240515;0100;672;;;
240515;0200;750;;;
240515;0300;494;;;
240515;0400;277;;;
240515;0500;302;;;
240515;0600;322;;;
240515;0700;261;;;
240515;0800;407;;;
240515;0900;500;;;
240515;1000;270;;;
240515;1100;74;;;
240515;1200;59;;;
240515;1300;77;;;
240515;1400;73;;;
240515;1500;44;;;
240515;1600;58;;;
240515;1700;272;;;
240515;1800;623;;;
240515;1900;608;;;
240515;2000;439;;;
240515;2100;540;;;
240515;2200;433;;;
240515;2300;449;;;
240516;0000;652;;;
240516;0100;105;;;
240516;0200;157;;;
240516;0300;71;;;
240516;0400;184;;;
240516;0500;64;;;
240516;0600;56;;;
240516;0700;258;;;
240516;0800;333;;;
240516;0900;353;;;
240516;1000;51;;;
240516;1100;34;;;
240516;1200;28;;;
240516;1300;14;;;
240516;1400;14;;;
240516;1500;20;;;
240516;1600;35;;;
240516;1700;53;;;
240516;1800;100;;;
240516;1900;253;;;
240516;2000;453;;;
240516;2100;269;;;
240516;2200;589;;;
240516;2300;361;;;
240517;0000;179;;;
240517;0100;61;;;
240517;0200;210;;;
240517;0300;109;;;
240517;0400;161;;;
240517;0500;115;;;
240517;0600;64;;;
240517;0700;207;;;
240517;0800;231;;;
240517;0900;161;;;
240517;1000;123;;;
240517;1100;60;;;
240517;1200;75;;;
240517;1300;63;;;
240517;1400;79;;;
240517;1500;87;;;
240517;1600;156;;;
240517;1700;235;;;
240517;1800;230;;;
240517;1900;327;;;
240517;2000;536;;;
240517;2100;411;;;
240517;2200;475;;;
240517;2300;310;;;
240518;0000;595;;;
240518;0100;575;;;
240518;0200;381;;;
240518;0300;223;;;
240518;0400;115;;;
240518;0500;105;;;
240518;0600;86;;;
240518;0700;219;;;
240518;0800;444;;;
240518;0900;341;;;
240518;1000;114;;;
240518;1100;179;;;
240518;1200;150;;;
240518;1300;142;;;
240518;1400;79;;;
240518;1500;51;;;
240518;1600;41;;;
240518;1700;282;;;
240518;1800;544;;;
240518;1900;65;;;
240518;2000;298;;;
240518;2100;114;;;
240518;2200;105;;;
240518;2300;198;;;
240519;0000;284;;;
240519;0100;173;;;
240519;0200;46;;;
240519;0300;85;;;
240519;0400;26;;;
240519;0500;48;;;
240519;0600;46;;;
240519;0700;92;;;
240519;0800;91;;;
240519;0900;126;;;
240519;1000;69;;;
240519;1100;34;;;
240519;1200;59;;;
240519;1300;47;;;
240519;1400;34;;;
240519;1500;42;;;
240519;1600;42;;;
240519;1700;47;;;
240519;1800;63;;;
240519;1900;79;;;
240519;2000;156;;;
240519;2100;278;;;
240519;2200;162;;;
240519;2300;137;;;
240520;0000;90;;;
240520;0100;91;;;
240520;0200;60;;;
240520;0300;42;;;
240520;0400;51;;;
240520;0500;52;;;
240520;0600;168;;;
240520;0700;152;;;
240520;0800;299;;;
240520;0900;109;;;
240520;1000;33;;;
240520;1100;42;;;
240520;1200;37;;;
240520;1300;31;;;
240520;1400;24;;;
240520;1500;25;;;
240520;1600;39;;;
